,user_id,movie_id,rating
434,5,35,2
4269,43,70,3
336,4,37,5
1799,18,100,4
470,5,71,2
2881,29,82,4
3182,32,83,4
2678,27,79,1
9316,94,17,1
287,3,88,2
7161,72,62,3
6372,64,73,2
7844,79,45,1
1022,11,23,3
7889,79,90,1
4947,50,48,1
6457,65,58,1
7995,80,96,4
3840,39,41,1
5076,51,77,2
8785,88,86,4
6880,69,81,4
8338,84,39,3
2608,27,9,1
5303,54,4,3
1968,20,69,4
4192,42,93,5
919,10,20,4
2808,29,9,1
6362,64,63,3
4620,47,21,2
4415,45,16,1
2060,21,61,1
9685,97,86,5
3210,33,11,4
8101,82,2,1
8755,88,56,5
4420,45,21,2
9839,99,40,3
7813,79,14,3
1645,17,46,4
3808,39,9,1
2124,22,25,4
9131,92,32,1
7229,73,30,5
949,10,50,1
7269,73,70,3
5412,55,13,3
1585,16,86,5
8061,81,62,1
3423,35,24,4
4909,50,10,4
85,1,86,1
4055,41,56,1
8698,87,99,2
3389,34,90,3
5089,51,90,5
1957,20,58,4
68,1,69,5
4608,47,9,5
2443,25,44,3
8687,87,88,1
3445,35,46,3
674,7,75,5
9953,100,54,2
9450,95,51,4
7103,72,4,3
4924,50,25,1
4712,48,13,3
3241,33,42,1
1343,14,44,4
6439,65,40,2
6300,64,1,4
8146,82,47,4
694,7,95,4
2161,22,62,1
9549,96,50,4
2230,23,31,5
2458,25,59,2
448,5,49,3
5740,58,41,4
3405,35,6,2
9504,96,5,2
8851,89,52,1
1900,20,1,1
5046,51,47,4
2565,26,66,4
1266,13,67,1
83,1,84,3
3699,37,100,4
2738,28,39,2
4692,47,93,1
8077,81,78,5
8229,83,30,5
6357,64,58,4
1518,16,19,2
4671,47,72,3
2259,23,60,2
3442,35,43,1
4094,41,95,5
5921,60,22,1
3507,36,8,3
4128,42,29,5
960,10,61,5
6731,68,32,3
8076,81,77,4
9076,91,77,4
1727,18,28,3
9518,96,19,2
7619,77,20,2
2305,24,6,1
9245,93,46,4
7407,75,8,3
8400,85,1,4
8141,82,42,1
3810,39,11,2
7213,73,14,5
4713,48,14,1
5750,58,51,4
9542,96,43,4
1219,13,20,2
945,10,46,1
8972,90,73,2
2206,23,7,5
2547,26,48,1
3132,32,33,3
9541,96,42,1
5792,58,93,1
1873,19,74,5
8446,85,47,2
6155,62,56,4
7837,79,38,5
5738,58,39,1
1875,19,76,5
8105,82,6,3
3460,35,61,1
3217,33,18,3
7067,71,68,4
6637,67,38,3
5875,59,76,2
7351,74,52,5
6108,62,9,2
7126,72,27,1
7825,79,26,5
9726,98,27,1
8340,84,41,1
8448,85,49,3
3620,37,21,4
4238,43,39,2
7801,79,2,2
9618,97,19,5
7033,71,34,3
4777,48,78,1
7517,76,18,2
1077,11,78,4
580,6,81,1
8231,83,32,3
8376,84,77,4
4812,49,13,2
3727,38,28,3
2937,30,38,3
2910,30,11,4
5423,55,24,1
8814,89,15,3
7684,77,85,3
8345,84,46,5
5696,57,97,3
1975,20,76,4
6109,62,10,2
156,2,57,5
625,7,26,1
665,7,66,2
6550,66,51,3
1919,20,20,4
6491,65,92,3
6208,63,9,5
9037,91,38,1
1104,12,5,1
2663,27,64,3
1385,14,86,1
6377,64,78,5
526,6,27,5
9507,96,8,5
1621,17,22,4
7976,80,77,5
8201,83,2,5
9967,100,68,4
9436,95,37,4
2700,28,1,3
4305,44,6,3
5627,57,28,1
331,4,32,5
310,4,11,5
3674,37,75,5
4090,41,91,5
8911,90,12,4
116,2,17,2
3852,39,53,4
8090,81,91,1
5641,57,42,3
3980,40,81,2
6428,65,29,1
7211,73,12,2
480,5,81,3
5061,51,62,1
1291,13,92,1
7660,77,61,4
3279,33,80,1
6173,62,74,3
2640,27,41,5
3649,37,50,1
4977,50,78,1
918,10,19,1
2135,22,36,2
0,1,1,1
2159,22,60,2
9246,93,47,2
6813,69,14,5
2964,30,65,5
7940,80,41,5
677,7,78,3
6906,70,7,5
4574,46,75,3
4973,50,74,5
1537,16,38,5
8439,85,40,5
7206,73,7,2
8323,84,24,4
7462,75,63,5
10,1,11,3
7180,72,81,3
3257,33,58,1
4074,41,75,3
6561,66,62,4
325,4,26,1
6690,67,91,5
6665,67,66,3
1636,17,37,2
1167,12,68,2
8739,88,40,5
409,5,10,4
4320,44,21,3
7453,75,54,5
2185,22,86,5
39,1,40,3
6223,63,24,1
4956,50,57,3
6074,61,75,4
4729,48,30,2
9417,95,18,2
8915,90,16,4
9703,98,4,4
2386,24,87,2
157,2,58,3
1745,18,46,3
1941,20,42,3
1884,19,85,5
3837,39,38,4
9500,96,1,3
1749,18,50,2
7078,71,79,3
8880,89,81,1
5638,57,39,4
1033,11,34,3
1995,20,96,4
8871,89,72,5
8161,82,62,2
8473,85,74,1
9437,95,38,3
9955,100,56,4
7893,79,94,4
8789,88,90,4
8397,84,98,1
2894,29,95,2
825,9,26,4
9002,91,3,4
5212,53,13,2
6124,62,25,5
8845,89,46,4
6246,63,47,4
8045,81,46,3
1988,20,89,1
7636,77,37,1
4981,50,82,3
3393,34,94,3
4381,44,82,2
3818,39,19,1
2150,22,51,5
192,2,93,2
5539,56,40,3
8430,85,31,4
603,7,4,4
8721,88,22,4
8149,82,50,1
8737,88,38,2
4966,50,67,3
6331,64,32,1
6875,69,76,5
3158,32,59,5
5364,54,65,1
181,2,82,4
6150,62,51,3
5553,56,54,3
639,7,40,3
9065,91,66,4
8975,90,76,5
965,10,66,5
5859,59,60,2
2339,24,40,1
1579,16,80,3
373,4,74,3
1329,14,30,2
6778,68,79,5
8150,82,51,1
7857,79,58,4
1014,11,15,5
9148,92,49,3
357,4,58,3
2245,23,46,1
3202,33,3,4
2543,26,44,2
3814,39,15,3
5885,59,86,1
7544,76,45,4
3736,38,37,2
1501,16,2,2
7998,80,99,1
9842,99,43,1
8501,86,2,3
8177,82,78,2
7651,77,52,5
8384,84,85,1
7225,73,26,5
8185,82,86,4
2650,27,51,2
3192,32,93,1
4530,46,31,5
6061,61,62,1
856,9,57,4
4449,45,50,2
4115,42,16,2
8768,88,69,4
6536,66,37,1
1989,20,90,1
9438,95,39,5
7468,75,69,5
7027,71,28,3
9871,99,72,2
7662,77,63,1
8424,85,25,1
8417,85,18,1
7435,75,36,3
2111,22,12,2
5652,57,53,4
4142,42,43,5
3029,31,30,2
5509,56,10,2
556,6,57,3
9001,91,2,2
1207,13,8,3
8662,87,63,2
1001,11,2,4
9954,100,55,1
5564,56,65,4
6427,65,28,3
4724,48,25,5
13,1,14,1
2888,29,89,3
1554,16,55,1
6261,63,62,4
4434,45,35,2
463,5,64,4
2956,30,57,1
2324,24,25,5
3638,37,39,4
8187,82,88,1
6866,69,67,4
3918,40,19,5
6760,68,61,5
6274,63,75,3
1678,17,79,3
5292,53,93,4
8800,89,1,1
8750,88,51,2
9275,93,76,3
847,9,48,5
2233,23,34,1
4688,47,89,1
966,10,67,2
8670,87,71,2
8373,84,74,2
4060,41,61,3
8873,89,74,3
977,10,78,2
175,2,76,2
1282,13,83,5
8393,84,94,2
9693,97,94,2
63,1,64,3
3800,39,1,1
66,1,67,3
2489,25,90,5
8195,82,96,2
6437,65,38,1
2477,25,78,5
7008,71,9,4
7927,80,28,3
1714,18,15,5
6607,67,8,2
9560,96,61,4
5268,53,69,3
2579,26,80,3
4228,43,29,3
1772,18,73,4
7815,79,16,5
5884,59,85,3
2099,21,100,5
4058,41,59,1
5574,56,75,5
3945,40,46,1
4931,50,32,1
586,6,87,4
3352,34,53,4
8414,85,15,3
9426,95,27,5
4554,46,55,4
5522,56,23,3
1334,14,35,5
2221,23,22,4
5722,58,23,2
9380,94,81,4
7811,79,12,4
4285,43,86,3
291,3,92,5
6739,68,40,4
2601,27,2,5
2192,22,93,2
976,10,77,1
2759,28,60,1
8617,87,18,3
4940,50,41,4
3151,32,52,4
3506,36,7,3
1961,20,62,3
9974,100,75,3
5243,53,44,4
2495,25,96,5
6102,62,3,2
9169,92,70,5
573,6,74,4
6095,61,96,3
6634,67,35,2
359,4,60,2
8392,84,93,1
2736,28,37,5
8319,84,20,1
1788,18,89,4
8541,86,42,3
8863,89,64,1
1923,20,24,4
8710,88,11,2
3086,31,87,2
3732,38,33,3
6644,67,45,4
7165,72,66,1
1742,18,43,4
3716,38,17,5
3970,40,71,5
3646,37,47,1
6114,62,15,5
3670,37,71,4
4348,44,49,4
8324,84,25,1
2195,22,96,1
5681,57,82,3
794,8,95,3
5487,55,88,4
5620,57,21,2
2357,24,58,4
7727,78,28,5
5101,52,2,2
7088,71,89,4
2977,30,78,2
6924,70,25,5
3551,36,52,2
2572,26,73,5
8999,90,100,2
6939,70,40,1
1631,17,32,5
9495,95,96,4
9757,98,58,4
3774,38,75,1
5173,52,74,4
9583,96,84,3
4565,46,66,3
3318,34,19,2
6956,70,57,4
9581,96,82,4
7449,75,50,1
9488,95,89,1
5503,56,4,3
3933,40,34,5
1218,13,19,5
6741,68,42,2
4220,43,21,3
6319,64,20,4
6908,70,9,2
4549,46,50,4
2304,24,5,2
8727,88,28,5
3298,33,99,4
4830,49,31,4
1608,17,9,2
4532,46,33,2
1661,17,62,1
8013,81,14,2
4912,50,13,1
2670,27,71,5
4389,44,90,4
2974,30,75,5
1240,13,41,3
3610,37,11,3
2071,21,72,4
8262,83,63,1
7474,75,75,3
7737,78,38,4
558,6,59,5
2478,25,79,4
3867,39,68,3
9922,100,23,4
8724,88,25,4
8907,90,8,3
7711,78,12,2
6222,63,23,2
2372,24,73,1
4184,42,85,4
2587,26,88,5
5345,54,46,1
6811,69,12,4
6117,62,18,1
2235,23,36,1
8555,86,56,3
5463,55,64,5
7137,72,38,4
2551,26,52,3
30,1,31,4
8405,85,6,5
1676,17,77,1
9924,100,25,2
4353,44,54,4
8619,87,20,4
6397,64,98,2
3652,37,53,1
1056,11,57,1
6929,70,30,5
5225,53,26,1
8029,81,30,3
4949,50,50,2
158,2,59,2
6725,68,26,2
5431,55,32,5
3742,38,43,3
5545,56,46,3
1928,20,29,1
1145,12,46,2
6294,63,95,5
8621,87,22,3
2342,24,43,5
5014,51,15,3
8824,89,25,3
